left,center,right,bot,speechStart,speechEnd,time,comments,question difficulty,duration
0,0,0,0,0,0,161849,,,0
0,0,0,0,0,0,161852,,,0
0,0,0,0,0,0,161855,,,0
0,0,0,0,0,0,161859,,,0
0,0,0,0,0,0,161862,,,0
0,0,0,0,0,0,161865,,,0
0,0,0,0,0,0,161869,,,0
0,0,0,0,0,0,161872,,,0
0,0,0,0,0,0,161875,,,0
0,0,0,0,0,0,161879,,,0
0,0,0,0,0,0,161882,,,0
0,0,0,0,0,0,161885,,,0
0,0,0,0,0,0,161889,,,0
0,0,0,0,0,0,161892,,,0
0,0,0,0,0,0,161895,,,0
0,0,0,0,0,0,161899,,,0
0,0,0,0,0,0,161902,,,0
0,0,0,0,0,0,161905,,,0
0,0,0,0,0,0,161909,,,0
0,0,0,0,0,0,161912,,,0
0,0,0,0,0,0,161915,,,0
0,0,0,0,0,0,161919,,,0
0,0,0,0,0,0,161922,,,0
0,0,0,0,0,0,161925,,,0
0,0,0,0,0,0,161929,,,0
0,0,0,0,0,0,161932,,,0
0,0,0,0,0,0,161935,,,0
0,0,0,0,0,0,161939,,,0
0,0,0,0,0,0,161942,,,0
0,0,0,0,0,0,161945,,,0
0,0,0,0,0,0,161949,,,0
0,0,0,0,0,0,161952,,,0
0,0,0,0,0,0,161955,,,0
0,0,0,0,0,0,161959,,,0
0,0,0,0,0,0,161962,,,0
0,0,0,0,0,0,161965,,,0
0,0,0,0,0,0,161969,,,0
0,0,0,0,0,0,161972,,,0
0,0,0,0,0,0,161975,,,0
0,0,0,0,0,0,161979,,,0
0,0,0,0,0,0,161982,,,0
0,0,0,0,0,0,161985,,,0
0,0,0,0,0,0,161989,,,0
0,0,0,0,0,0,161992,,,0
0,0,0,0,0,0,161995,,,0
0,0,0,0,0,0,161999,,,0
0,0,0,0,0,0,162002,,,0
0,0,0,0,0,0,162005,,,0
0,0,0,0,0,0,162009,,,0
0,0,0,0,0,0,162012,,,0
0,0,0,0,0,0,162015,,,0
0,0,0,0,0,0,162019,,,0
0,0,0,0,0,0,162022,,,0
0,0,0,0,0,0,162025,,,0
0,0,0,0,0,0,162029,,,0
0,0,0,0,0,0,162032,,,0
0,0,0,1,1,0,162035,,,0
0,1,0,0,0,0,162038,Hello everyone! Hope you're enjoying your \emph=2\day!,m_intro,1.5
0,0,0,1,0,0,162039,,,0
0,0,0,1,0,0,162042,,,0
0,0,0,1,0,0,162045,,,0
0,0,0,1,0,0,162049,,,0
0,0,0,1,0,0,162052,,,0
0,0,0,1,0,0,162055,,,0
0,0,0,1,0,0,162059,,,0
0,0,0,1,0,0,162062,,,0
0,0,0,1,0,0,162065,,,0
0,0,0,1,0,0,162069,,,0
0,0,0,1,0,0,162072,,,0
0,0,0,1,0,0,162075,,,0
0,0,0,1,0,0,162079,,,0
0,0,0,1,0,0,162082,,,0
0,0,0,1,0,0,162085,,,0
0,0,0,1,0,0,162089,,,0
0,0,0,1,0,0,162092,,,0
0,0,0,1,0,0,162095,,,0
0,0,0,1,0,0,162099,,,0
0,0,0,1,0,0,162102,,,0
0,0,0,1,0,0,162105,,,0
0,0,0,1,0,0,162109,,,0
0,0,0,1,0,0,162112,,,0
0,0,0,1,0,0,162115,,,0
0,0,0,1,0,0,162119,,,0
0,0,0,1,0,0,162122,,,0
0,0,0,1,0,0,162125,,,0
0,0,0,1,0,0,162129,,,0
0,0,0,1,0,0,162132,,,0
0,0,0,1,0,0,162135,,,0
0,0,0,1,0,0,162139,,,0
0,0,0,1,0,0,162142,,,0
0,0,0,1,0,0,162145,,,0
0,0,0,1,0,0,162149,,,0
0,0,0,1,0,0,162152,,,0
0,0,0,1,0,0,162155,,,0
0,0,0,1,0,0,162159,,,0
0,0,0,1,0,0,162162,,,0
0,0,0,1,0,0,162165,,,0
0,0,0,1,0,0,162169,,,0
0,0,0,1,0,0,162172,,,0
0,0,0,1,0,0,162175,,,0
0,0,0,1,0,0,162179,,,0
0,0,0,1,0,0,162182,,,0
0,0,0,1,0,0,162185,,,0
0,0,0,1,0,0,162189,,,0
0,0,0,1,0,0,162192,,,0
0,0,0,1,0,0,162195,,,0
0,0,0,1,0,0,162199,,,0
0,0,0,1,0,0,162202,,,0
0,0,0,1,0,0,162205,,,0
0,0,0,1,0,0,162209,,,0
0,0,0,1,0,0,162212,,,0
0,0,0,1,0,0,162215,,,0
0,0,0,1,0,0,162219,,,0
0,0,0,1,0,0,162222,,,0
0,0,0,1,0,0,162225,,,0
0,0,0,1,0,0,162229,,,0
0,0,0,1,0,0,162232,,,0
0,0,0,1,0,0,162235,,,0
0,0,0,1,0,0,162239,,,0
0,0,0,1,0,0,162242,,,0
0,0,0,1,0,0,162245,,,0
0,0,0,1,0,0,162249,,,0
0,0,0,1,0,0,162252,,,0
0,0,0,1,0,0,162255,,,0
0,0,0,1,0,0,162259,,,0
0,0,0,1,0,0,162262,,,0
0,0,0,1,0,0,162265,,,0
0,0,0,1,0,0,162269,,,0
0,0,0,1,0,0,162272,,,0
0,0,0,1,0,0,162275,,,0
0,0,0,1,0,0,162279,,,0
0,0,0,1,0,0,162282,,,0
0,0,0,1,0,0,162285,,,0
0,0,0,1,0,0,162289,,,0
0,0,0,1,0,0,162292,,,0
0,0,0,1,0,0,162295,,,0
0,0,0,1,0,0,162299,,,0
0,0,0,1,0,0,162302,,,0
0,0,0,1,0,0,162305,,,0
0,0,0,1,0,0,162309,,,0
0,0,0,1,0,0,162312,,,0
0,0,0,1,0,0,162315,,,0
0,0,0,1,0,0,162319,,,0
0,0,0,1,0,0,162322,,,0
0,0,0,1,0,0,162325,,,0
0,0,0,1,0,0,162329,,,0
0,0,0,1,0,0,162332,,,0
0,0,0,1,0,0,162335,,,0
0,0,0,1,0,0,162339,,,0
0,0,0,1,0,0,162342,,,0
0,0,0,1,0,0,162345,,,0
0,0,0,1,0,0,162349,,,0
0,0,0,1,0,0,162352,,,0
0,0,0,1,0,0,162355,,,0
0,0,0,1,0,0,162359,,,0
0,0,0,1,0,0,162362,,,0
0,0,0,1,0,0,162365,,,0
0,0,0,1,0,0,162369,,,0
0,0,0,1,0,0,162372,,,0
0,0,0,1,0,0,162375,,,0
0,0,0,1,0,0,162379,,,0
0,0,0,1,0,0,162382,,,0
0,0,0,1,0,0,162385,,,0
0,0,0,1,0,0,162389,,,0
0,0,0,1,0,0,162392,,,0
0,0,0,1,0,0,162395,,,0
0,0,0,1,0,0,162399,,,0
0,0,0,1,0,0,162402,,,0
0,0,0,1,0,0,162405,,,0
0,0,0,1,0,0,162409,,,0
0,0,0,1,0,0,162412,,,0
0,0,0,1,0,0,162415,,,0
0,0,0,1,0,0,162419,,,0
0,0,0,1,0,0,162422,,,0
0,0,0,1,0,0,162425,,,0
0,0,0,1,0,0,162429,,,0
0,0,0,1,0,0,162432,,,0
0,0,0,1,0,0,162435,,,0
0,0,0,1,0,0,162439,,,0
0,0,0,1,0,0,162442,,,0
0,0,0,1,0,0,162445,,,0
0,0,0,1,0,0,162449,,,0
0,0,0,1,0,0,162452,,,0
0,0,0,1,0,0,162455,,,0
0,0,0,1,0,0,162459,,,0
0,0,0,1,0,0,162462,,,0
0,0,0,1,0,0,162465,,,0
0,0,0,1,0,0,162469,,,0
0,0,0,1,0,0,162472,,,0
0,0,0,1,0,0,162475,,,0
0,0,0,1,0,0,162479,,,0
0,0,0,1,0,0,162482,,,0
0,0,0,1,0,0,162485,,,0
0,0,0,1,0,0,162489,,,0
0,0,0,1,0,0,162492,,,0
0,0,0,1,0,0,162495,,,0
0,0,0,1,0,0,162499,,,0
0,0,0,1,0,0,162502,,,0
0,0,0,1,0,0,162505,,,0
0,0,0,1,0,0,162509,,,0
0,0,0,1,0,0,162512,,,0
0,0,0,1,0,0,162515,,,0
0,0,0,1,0,0,162519,,,0
0,0,0,1,0,0,162522,,,0
0,0,0,1,0,0,162525,,,0
0,0,0,1,0,0,162529,,,0
0,0,0,1,0,0,162532,,,0
0,0,0,1,0,0,162535,,,0
0,0,0,1,0,0,162539,,,0
0,0,0,1,0,0,162542,,,0
0,0,0,1,0,0,162545,,,0
0,0,0,1,0,0,162549,,,0
0,0,0,1,0,0,162552,,,0
0,0,0,1,0,0,162555,,,0
0,0,0,1,0,0,162559,,,0
0,0,0,1,0,0,162562,,,0
0,0,0,1,0,0,162565,,,0
0,0,0,1,0,0,162569,,,0
0,0,0,1,0,0,162572,,,0
0,0,0,1,0,0,162575,,,0
0,0,0,1,0,0,162579,,,0
0,0,0,1,0,0,162582,,,0
0,0,0,1,0,0,162585,,,0
0,0,0,1,0,0,162589,,,0
0,0,0,1,0,0,162592,,,0
0,0,0,0,0,1,162595,,,0
0,0,0,0,0,0,162599,,,0
0,0,0,0,0,0,162602,,,0
0,1,0,0,1,0,162605,,,0
0,1,0,0,0,0,162609,,,0
0,1,0,0,0,0,162612,,,0
0,1,0,0,0,0,162615,,,0
0,1,0,0,0,0,162619,,,0
0,1,0,0,0,0,162622,,,0
0,1,0,0,0,0,162625,,,0
0,1,0,0,0,0,162629,,,0
0,1,0,0,0,0,162632,,,0
0,1,0,0,0,0,162635,,,0
0,1,0,0,0,0,162639,,,0
0,1,0,0,0,0,162642,,,0
0,1,0,0,0,0,162645,,,0
0,1,0,0,0,0,162649,,,0
0,1,0,0,0,0,162652,,,0
0,1,0,0,0,0,162655,,,0
0,1,0,0,0,0,162659,,,0
0,1,0,0,0,0,162662,,,0
0,1,0,0,0,0,162665,,,0
0,1,0,0,0,0,162669,,,0
0,1,0,0,0,0,162672,,,0
0,0,0,0,0,1,162675,,,0
0,0,0,0,0,0,162679,,,0
0,0,0,0,0,0,162682,,,0
0,0,0,0,0,0,162685,,,0
0,0,0,0,0,0,162689,,,0
0,0,0,0,0,0,162692,,,0
0,0,0,0,0,0,162695,,,0
0,0,0,0,0,0,162699,,,0
0,0,0,0,0,0,162702,,,0
0,1,0,0,0,0,162703,My name is Nao and I am from the Interaction Lab at USC!,Me,2.5
0,0,0,1,1,0,162705,,,0
0,0,0,1,0,0,162709,,,0
0,0,0,1,0,0,162712,,,0
0,0,0,1,0,0,162715,,,0
0,0,0,1,0,0,162719,,,0
0,0,0,1,0,0,162722,,,0
0,0,0,1,0,0,162725,,,0
0,0,0,1,0,0,162729,,,0
0,0,0,1,0,0,162732,,,0
0,0,0,1,0,0,162735,,,0
0,0,0,1,0,0,162739,,,0
0,0,0,1,0,0,162742,,,0
0,0,0,1,0,0,162745,,,0
0,0,0,1,0,0,162749,,,0
0,0,0,1,0,0,162752,,,0
0,0,0,1,0,0,162755,,,0
0,0,0,1,0,0,162759,,,0
0,0,0,1,0,0,162762,,,0
0,0,0,1,0,0,162765,,,0
0,0,0,1,0,0,162769,,,0
0,0,0,1,0,0,162772,,,0
0,0,0,1,0,0,162775,,,0
0,0,0,1,0,0,162779,,,0
0,0,0,1,0,0,162782,,,0
0,0,0,1,0,0,162785,,,0
0,0,0,1,0,0,162789,,,0
0,0,0,1,0,0,162792,,,0
0,0,0,1,0,0,162795,,,0
0,0,0,1,0,0,162799,,,0
0,0,0,1,0,0,162802,,,0
0,0,0,1,0,0,162805,,,0
0,0,0,1,0,0,162809,,,0
0,0,0,1,0,0,162812,,,0
0,0,0,1,0,0,162815,,,0
0,0,0,1,0,0,162819,,,0
0,0,0,1,0,0,162822,,,0
0,0,0,1,0,0,162825,,,0
0,0,0,1,0,0,162829,,,0
0,0,0,1,0,0,162832,,,0
0,0,0,1,0,0,162835,,,0
0,0,0,1,0,0,162839,,,0
0,0,0,1,0,0,162842,,,0
0,0,0,1,0,0,162845,,,0
0,0,0,1,0,0,162849,,,0
0,0,0,1,0,0,162852,,,0
0,0,0,1,0,0,162855,,,0
0,0,0,1,0,0,162859,,,0
0,0,0,1,0,0,162862,,,0
0,0,0,1,0,0,162865,,,0
0,0,0,1,0,0,162869,,,0
0,0,0,1,0,0,162872,,,0
0,0,0,1,0,0,162875,,,0
0,0,0,1,0,0,162879,,,0
0,0,0,1,0,0,162882,,,0
0,0,0,1,0,0,162885,,,0
0,0,0,1,0,0,162889,,,0
0,0,0,1,0,0,162892,,,0
0,0,0,1,0,0,162895,,,0
0,0,0,1,0,0,162899,,,0
0,0,0,1,0,0,162902,,,0
0,0,0,1,0,0,162905,,,0
0,0,0,1,0,0,162909,,,0
0,0,0,1,0,0,162912,,,0
0,0,0,1,0,0,162915,,,0
0,0,0,1,0,0,162919,,,0
0,0,0,1,0,0,162922,,,0
0,0,0,1,0,0,162925,,,0
0,0,0,1,0,0,162929,,,0
0,0,0,1,0,0,162932,,,0
0,0,0,1,0,0,162935,,,0
0,0,0,1,0,0,162939,,,0
0,0,0,1,0,0,162942,,,0
0,0,0,1,0,0,162945,,,0
0,0,0,1,0,0,162949,,,0
0,0,0,1,0,0,162952,,,0
0,0,0,1,0,0,162955,,,0
0,0,0,1,0,0,162959,,,0
0,0,0,1,0,0,162962,,,0
0,0,0,1,0,0,162965,,,0
0,0,0,1,0,0,162969,,,0
0,0,0,1,0,0,162972,,,0
0,0,0,1,0,0,162975,,,0
0,0,0,1,0,0,162979,,,0
0,0,0,1,0,0,162982,,,0
0,0,0,1,0,0,162985,,,0
0,0,0,1,0,0,162989,,,0
0,0,0,1,0,0,162992,,,0
0,0,0,1,0,0,162995,,,0
0,0,0,1,0,0,162999,,,0
0,0,0,1,0,0,163002,,,0
0,0,0,1,0,0,163005,,,0
0,0,0,1,0,0,163009,,,0
0,0,0,1,0,0,163012,,,0
0,0,0,1,0,0,163015,,,0
0,0,0,1,0,0,163019,,,0
0,0,0,1,0,0,163022,,,0
0,0,0,1,0,0,163025,,,0
0,0,0,1,0,0,163029,,,0
0,0,0,1,0,0,163032,,,0
0,0,0,1,0,0,163035,,,0
0,0,0,1,0,0,163039,,,0
0,0,0,1,0,0,163042,,,0
0,0,0,1,0,0,163045,,,0
0,0,0,1,0,0,163049,,,0
0,0,0,1,0,0,163052,,,0
0,0,0,1,0,0,163055,,,0
0,0,0,1,0,0,163059,,,0
0,0,0,1,0,0,163062,,,0
0,0,0,1,0,0,163065,,,0
0,0,0,1,0,0,163069,,,0
0,0,0,1,0,0,163072,,,0
0,0,0,1,0,0,163075,,,0
0,0,0,1,0,0,163079,,,0
0,0,0,1,0,0,163082,,,0
0,0,0,1,0,0,163085,,,0
0,0,0,1,0,0,163089,,,0
0,0,0,1,0,0,163092,,,0
0,0,0,1,0,0,163095,,,0
0,0,0,1,0,0,163099,,,0
0,0,0,1,0,0,163102,,,0
0,0,0,1,0,0,163105,,,0
0,0,0,1,0,0,163109,,,0
0,0,0,1,0,0,163112,,,0
0,1,0,0,0,0,163113,"Thank you for joining me here. As you know, we are here today to talk about the stress we are feeling with school.",Question Medium,5.0
0,0,0,1,0,0,163115,,,0
0,0,0,1,0,0,163119,,,0
0,0,0,1,0,0,163122,,,0
0,0,0,1,0,0,163125,,,0
0,0,0,1,0,0,163129,,,0
0,0,0,1,0,0,163132,,,0
0,0,0,1,0,0,163135,,,0
0,0,0,1,0,0,163139,,,0
0,0,0,1,0,0,163142,,,0
0,0,0,1,0,0,163145,,,0
0,0,0,1,0,0,163149,,,0
0,0,0,1,0,0,163152,,,0
0,0,0,1,0,0,163155,,,0
0,0,0,1,0,0,163159,,,0
0,0,0,1,0,0,163162,,,0
0,0,0,1,0,0,163165,,,0
0,0,0,1,0,0,163169,,,0
0,0,0,1,0,0,163172,,,0
0,0,0,1,0,0,163175,,,0
0,0,0,1,0,0,163179,,,0
0,0,0,1,0,0,163182,,,0
0,0,0,1,0,0,163185,,,0
0,0,0,1,0,0,163189,,,0
0,0,0,1,0,0,163192,,,0
0,0,0,1,0,0,163195,,,0
0,0,0,1,0,0,163199,,,0
0,0,0,1,0,0,163202,,,0
0,0,0,1,0,0,163205,,,0
0,0,0,1,0,0,163209,,,0
0,0,0,1,0,0,163212,,,0
0,0,0,1,0,0,163215,,,0
0,0,0,1,0,0,163219,,,0
0,0,0,1,0,0,163222,,,0
0,0,0,1,0,0,163225,,,0
0,0,0,1,0,0,163229,,,0
0,0,0,1,0,0,163232,,,0
0,0,0,1,0,0,163235,,,0
0,0,0,1,0,0,163239,,,0
0,0,0,1,0,0,163242,,,0
0,0,0,1,0,0,163245,,,0
0,0,0,1,0,0,163249,,,0
0,0,0,1,0,0,163252,,,0
0,0,0,1,0,0,163255,,,0
0,0,0,1,0,0,163259,,,0
0,0,0,1,0,0,163262,,,0
0,0,0,1,0,0,163265,,,0
0,0,0,1,0,0,163269,,,0
0,0,0,1,0,0,163272,,,0
0,0,0,1,0,0,163275,,,0
0,0,0,1,0,0,163279,,,0
0,0,0,1,0,0,163282,,,0
0,0,0,1,0,0,163285,,,0
0,0,0,1,0,0,163289,,,0
0,0,0,1,0,0,163292,,,0
0,0,0,1,0,0,163295,,,0
0,0,0,1,0,0,163299,,,0
0,0,0,1,0,0,163302,,,0
0,0,0,1,0,0,163305,,,0
0,0,0,1,0,0,163309,,,0
0,0,0,1,0,0,163312,,,0
0,0,0,1,0,0,163315,,,0
0,0,0,1,0,0,163319,,,0
0,0,0,1,0,0,163322,,,0
0,0,0,1,0,0,163325,,,0
0,0,0,1,0,0,163329,,,0
0,0,0,1,0,0,163332,,,0
0,0,0,1,0,0,163335,,,0
0,0,0,1,0,0,163339,,,0
0,0,0,1,0,0,163342,,,0
0,0,0,1,0,0,163345,,,0
0,0,0,1,0,0,163349,,,0
0,0,0,1,0,0,163352,,,0
0,0,0,1,0,0,163355,,,0
